description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Staff of Kings + Viper amulet -> Horadric Staff	1			0	28				2	msf	vip						hst																																																																																							0
Khalim Flail + Khalim Heart + Khalim Eye + Khalim Brain -> Super Khalim Flail	1			0	28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
1 Wirt's leg + 1 town portal book -> portal to cow lvl	1			0	28				1	leg							Cow Portal																																																																																							0
3 health potions + 3 mana potions + 1 standard gem -> full rejuvenate potion	1			0					7	"hpot,qty=3"	"mpot,qty=3"	gem2					rvl																																																																																							0
3 health potions +  3 mana potions + 1 chipped gem -> rejuvenate potion	1			0					7	"hpot,qty=3"	"mpot,qty=3"	gem0					rvs																																																																																							0
3 small rejuvs -> one large	1			0					3	"rvs,qty=3"							rvl																																																																																							0
1 perfect gem of each type + 1 amulet -> prismatic amulet	1			0					7	"amu,mag"	gpv	gpy	gpb	gpg	gpr	gpw	"amu,mag,pre=331"	50																																																																																						0
1 ring + 1 perfect ruby + 1 exploding potions -> garnet ring	1			0					3	"rin,mag"	gpr	opm					"rin,mag,pre=372"	30																																																																																						0
1 ring + 1 perfect sapphire + 1 thawing potions-> cobalt ring	1			0					3	"rin,mag"	gpb	wms					"rin,mag,pre=353"	30																																																																																						0
1 ring + 1 perfect topaz + 1 rejuvenation -> coral ring	1			0					3	"rin,mag"	gpy	rvs					"rin,mag,pre=392"	30																																																																																						0
1 ring + 1 emerald + 1 antidote potions -> jade ring	1			0					3	"rin,mag"	gpg	yps					"rin,mag,pre=412"	30																																																																																						0
1 axe + 1 dagger -> throwing axe	1			0					2	axe	knif						"tax,nor"																																																																																							0
1 spear + 1 arrow quiver -> javelins	1			0					2	spea	aqv						"jav,nor"																																																																																							0
3 rings -> amulet	1			0					3	"rin,mag,qty=3"							"amu,mag"		75																																																																																					0
3 amulets -> ring	1			0					3	"amu,mag,qty=3"							"rin,mag"		75																																																																																					0
"3 standard gems + 1 socketed weapon ->  magic, socketable weapon"	1			0					4	"weap,sock"	"gem2,qty=3"						"usetype,mag"	30		60	sock			1	2																																																																															0
"3 flawless gems + 1 magic weapon -> socketed, magic weapon"	1			0					4	"weap,mag"	"gem3,qty=3"						"usetype,mag"	30		60	sock			1	2																																																																															0
1 magic small shield + 1 spiked club + 2 skulls -> shield of spikes	1			0					4	"shld,mag"	"gemz,qty=2"	spc					"usetype,mag,suf=162"	30		60																																																																																				0
4 health potion + 1 ruby + 1 magic sword -> sword of the leech	1			0					6	"swor,mag"	gemr	"hpot,qty=4"					"usetype,mag,suf=352"	30		60																																																																																				0
1 diamond + 1 kriss + 1 staff + 1 belt -> savage polearm	1			0					4	kri	gemd	staf	belt				"pole,mag,pre=191"	50		60																																																																																				0
1 strangling gas potion + 1 health potion -> antidote potion	1			0					2	gpl	hpot						yps																																																																																							0
2 arrows -> bolts	1			0					2	"aqv,qty=2"							cqv																																																																																							0
2 bolts -> arrows	1			0					2	"cqv,qty=2"							aqv																																																																																							0
2 chipped amethysts -> flawed amethyst	1			0					2	"gcv,qty=2"							gfv																																																																																							0
2 flawed amethysts -> standard amethyst	1			0					2	"gfv,qty=2"							gsv																																																																																							0
2 standard amethysts -> flawless amethyst	1			0					2	"gsv,qty=2"							gzv																																																																																							0
2 flawless amethysts -> perfect amethyst	1			0					2	"gzv,qty=2"							gpv																																																																																							0
2 chipped rubies -> flawed ruby	1			0					2	"gcr,qty=2"							gfr																																																																																							0
2 flawed rubies -> standard ruby	1			0					2	"gfr,qty=2"							gsr																																																																																							0
2 standard rubies -> flawless ruby	1			0					2	"gsr,qty=2"							glr																																																																																							0
2 flawless rubies -> perfect ruby	1			0					2	"glr,qty=2"							gpr																																																																																							0
2 chipped sapphires -> flawed sapphire	1			0					2	"gcb,qty=2"							gfb																																																																																							0
2 flawed sapphires -> standard sapphire	1			0					2	"gfb,qty=2"							gsb																																																																																							0
2 standard sapphires -> flawless sapphire	1			0					2	"gsb,qty=2"							glb																																																																																							0
2 flawless sapphires -> perfect sapphire	1			0					2	"glb,qty=2"							gpb																																																																																							0
2 chipped topazes -> flawed topaz	1			0					2	"gcy,qty=2"							gfy																																																																																							0
2 flawed topazes -> standard topaz	1			0					2	"gfy,qty=2"							gsy																																																																																							0
2 standard topazes -> flawless topaz	1			0					2	"gsy,qty=2"							gly																																																																																							0
2 flawless topazes -> perfect topaz	1			0					2	"gly,qty=2"							gpy																																																																																							0
2 chipped emeralds -> flawed emerald	1			0					2	"gcg,qty=2"							gfg																																																																																							0
2 flawed emeralds -> standard emerald	1			0					2	"gfg,qty=2"							gsg																																																																																							0
2 standard emeralds -> flawless emerald	1			0					2	"gsg,qty=2"							glg																																																																																							0
2 flawless emeralds -> perfect emerald	1			0					2	"glg,qty=2"							gpg																																																																																							0
2 chipped diamonds -> flawed diamond	1			0					2	"gcw,qty=2"							gfw																																																																																							0
2 flawed diamonds -> standard diamond	1			0					2	"gfw,qty=2"							gsw																																																																																							0
2 standard diamonds -> flawless diamond	1			0					2	"gsw,qty=2"							glw																																																																																							0
2 flawless diamonds -> perfect diamond	1			0					2	"glw,qty=2"							gpw																																																																																							0
2 chipped skulls -> flawed skull	1			0					2	"skc,qty=2"							skf																																																																																							0
2 flawed skulls -> standard skull	1			0					2	"skf,qty=2"							sku																																																																																							0
2 standard skulls -> flawless skull	1			0					2	"sku,qty=2"							skl																																																																																							0
2 flawless skulls -> perfect skull	1			0					2	"skl,qty=2"							skz																																																																																							0
3 rune 01 -> rune 02	1			100					2	"r01,qty=2"							r02																																																																																							0
3 rune 02 -> rune 03	1			100					2	"r02,qty=2"							r03																																																																																							0
3 rune 03 -> rune 04	1			100					2	"r03,qty=2"							r04																																																																																							0
3 rune 04 -> rune 05	1			100					2	"r04,qty=2"							r05																																																																																							0
3 rune 05 -> rune 06	1			100					2	"r05,qty=2"							r06																																																																																							0
3 rune 06 -> rune 07	1			100					2	"r06,qty=2"							r07																																																																																							0
3 rune 07 -> rune 08	1			100					2	"r07,qty=2"							r08																																																																																							0
3 rune 08 -> rune 09	1			100					2	"r08,qty=2"							r09																																																																																							0
3 rune 09 -> rune 10	1			100					2	"r09,qty=2"							r10																																																																																							0
3 perfect gems + 1 magic item -> magic item	1			100					2	"any,mag"	"gem4,qty=1"						"usetype,mag"	99		100	sock			2	4																																																																															0
6 perfect skulls + 1 rare item -> 1 low level rare item	1			0					2	"any,rar"	"gem4,qty=1"						"usetype,rar"	99		100	sock			2	4																																																																															0
1 perfect skull + 1 rare item + soj -> 1 high level rare item	1			0					3	"any,rar"	skz	The Stone of Jordan					"usetype,rar"		66	66																																																																																				0
3 perfect skull + 1 rare item + stone of jordan-> add 1 socket to rare	1			0					5	"any,rar,nos"	"skz,qty=3"	The Stone of Jordan					"useitem,sock=1"																																																																																							0
magic full helm + jewel + rune 06 + perfect sapphire -> hitpower helm	1			100					4	"fhl,mag,upg"	jew	r06	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	ac-miss			25	50																																																																					0
magic chain boots + jewel + rune 08 + perfect sapphire -> hitpower boots	1			100					4	"mbt,mag,upg"	jew	r08	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	ac-hth			25	60																																																																					0
magic chain gloves + jewel + rune 09 + perfect sapphire -> hitpower gloves	1			100					4	"mgl,mag,upg"	jew	r09	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	knock			1	1																																																																					0
magic heavy belt + jewel + rune 07 + perfect sapphire -> hitpower belt	1			100					4	"tbl,mag,upg"	jew	r07	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	dmg-to-mana			5	10																																																																					0
